smile,wear professional Attire,use clean background,look serious,show your face clearly,use formal expression,wear suit,look confidence,look approachability,don't look emotional,crop the picture,avoid noise or artifacts,use positive atmosphere,use corporate environment,look trustworthiness,be energetic,look distinctive,look calm,fix your hair,show your face more,show your body more,put your face horizontally in the center,put your face vertically in the center,tilt your head,use eye contact,use high resolution,use good lighting,use color harmony in the pic,use lighting quality,LABEL
0.99,0.85,0.33,0.03,0.69,0.98,0.99,0.92,0.45,0.41,0.42,0.33,0.9,0.36,0.89,0.97,0.53,0.28,0.87,0.091104254,0.3938240486514318,0.9995033144950868,0.8725822567939758,0.1676639984824539,0.9532896280288696,1,0.35,0.68,0.6248098368579105,62.98828125
0.18,0.58,0.11,0.62,0.14,0.86,1,0.71,0.21,0.67,0.64,0.63,0.86,0.12,0.56,0.95,0.67,0.34,0.98,0.08632189,0.325904044,0.5688936213652294,0.9853753447532654,0.3731170319881869,0.9372334281603496,1,0.27,0.9,0.4020845209619341,40.35644531
0.15,0.45,0.85,0.94,0.43,0.06,1,0.56,0.04,0.19,0.46,0.22,0.22,0.13,0.42,0.69,0.27,0.58,0.98,0.95,0.45,0.89,0.96,0.07,0.12,1,0.18,0.8,0.079359911,65.13671875
0.19,1,0.7,1,0.29,0.43,1,0.91,0.19,0.67,0.62,0.1,0.91,0.84,0.78,0.7,0.8,0.37,0.97,0.041373377,0.5232954389967386,0.9500677486260732,0.391804039,0.1196782637468644,0.977612595,1,0.35,0.73,0.1025985578132144,80.56640625
0.05,1,0.83,0.98,0.39,0.86,0.99,0.98,0.34,0.74,0.41,0.14,0.95,0.9,0.6,0.36,0.31,0.82,0.85,0.13,0.079647095,0.95,0.84,0.25,0.53,1,0.15,0.81,1,69.28710938
0.38,0.99,0.23,0.98,0.54,0.27,1,0.67,0.22,0.83,0.42,0.35,0.8,0.59,0.53,0.81,0.64,0.1,0.95,0.1133654414788658,0.6593154668807983,0.9650722444057463,0.8398830890655518,0.042900792,0.7975161671638489,1,0.25,0.82,0.4631608540262427,67.578125
0.94,0.95,0.25,0.48,0.27,0.85,0.99,0.86,0.56,0.8,0.5,0.23,0.87,0.32,0.87,0.98,0.37,0.44,0.99,0.068987092,0.4228231193327758,0.9560108681519828,0.7786219716072083,0.1670213679605018,0.964833955,1,0.45,0.76,0.6150377398564294,69.28710938
0.71,0.93,0.33,0.79,0.3,0.57,0.46,0.74,0.4,0.79,0.55,0.23,0.95,0.79,0.68,0.45,0.37,0.9,0.74,0.021643171,0.4261850029564726,0.9847453633944192,0.6315385103225708,0.6222586310914265,0.3509497245152791,1,0.47,0.73,0.7760937276049382,73.09570313
0.95,1,0.31,0.85,0.43,0.88,1,0.99,0.42,0.77,0.57,0.32,0.87,0.82,0.92,0.89,0.41,0.36,0.98,0.070522307,0.4310317178648617,0.976031224,0.7292483448982239,0.03380359,0.9014421304066976,1,0.37,0.86,0.553956276,39.99023438
0.84,0.96,0.55,0.89,0.3,0.21,1,0.8,0.5,0.87,0.31,0.12,0.91,0.58,0.61,0.88,0.45,0.32,0.95,0.058285985,0.5317380276115724,0.9961469372113544,0.5448770523071289,0.1066487344856895,0.9397883812586476,1,0.13,0.92,0.697962472,74.0234375
0.05,1,0.83,0.98,0.39,0.86,0.99,0.98,0.34,0.74,0.41,0.14,0.95,0.9,0.6,0.36,0.31,0.82,0.85,0.13,0.079647095,0.95,0.84,0.25,0.53,1,0.15,0.81,1,69.28710938
0.71,0.93,0.33,0.79,0.3,0.57,0.46,0.74,0.4,0.79,0.55,0.23,0.95,0.79,0.68,0.45,0.37,0.9,0.74,0.021643171,0.4261850029564726,0.9847453633944192,0.6315385103225708,0.6222586310914265,0.3509497245152791,1,0.47,0.73,0.7760937276049382,73.09570313
0.15,1,0.61,1,0.27,0.7,1,0.95,0.18,0.6,0.69,0.23,0.81,0.89,0.8,0.56,0.87,0.54,0.96,0.020413812,0.2320762562151728,0.9766147037347158,0.3881377577781677,0.1648985909861706,0.9749289949735006,1,0.28,0.55,0.048683394,77.97851563
0.7,0.99,0.43,0.94,0.44,0.08,1,0.83,0.37,0.71,0.24,0.07,0.82,0.36,0.7,0.46,0.68,0.27,0.89,0.1254167350221795,0.5868065746220452,0.7512313822905222,0.6962636709213257,0.066939133,0.7532527645428976,1,0.27,0.46,0.2787587227386798,66.55273438
0.26,0.99,0.56,0.9,0.39,0.32,1,0.74,0.22,0.76,0.62,0.17,0.91,0.52,0.57,0.84,0.67,0.27,0.96,0.014523238,0.2849680065501232,0.8456377585728965,0.5998947620391846,0.068027978,0.6327195564905793,1,0.24,0.88,0.5507399859331596,72.16796875
0.76,1,0.4,0.89,0.56,0.91,1,1,0.52,0.75,0.82,0.58,0.92,0.83,0.6,0.67,0.77,0.65,0.96,0.038376096,0.3254201568017958,0.9788492619991302,0.6885504722595215,0.083055877,0.7381594777107239,1,0.3,0.89,0.5516215988053215,59.61914063
0.99,0.88,0.57,0.15,0.43,0.6,0.99,0.9,0.58,0.36,0.3,0.12,0.96,0.15,0.93,0.74,0.84,0.67,0.91,0.1547750391710671,0.4600782644107645,0.8718457619349161,0.968793511,0.1146438946804062,0.005982478,1,0.62,0.57,0.7932310951734242,77.19726563
0.81,1,0.56,0.9,0.41,0.93,1,0.98,0.57,0.75,0.5,0.33,0.91,0.85,0.8,0.65,0.85,0.48,0.98,0.05961895,0.5285054206166517,0.8894613683223724,0.6570675373077393,0.2129318363500311,0.7710099816322327,1,0.29,0.83,0.7007317100620241,66.89453125
0.38,0.99,0.23,0.98,0.54,0.27,1,0.67,0.22,0.83,0.42,0.35,0.8,0.59,0.53,0.81,0.64,0.1,0.95,0.1133654414788658,0.6593154668807983,0.9650722444057463,0.8398830890655518,0.042900792,0.7975161671638489,1,0.25,0.82,0.4631608540262427,67.578125
0.91,0.96,0.9,0.97,0.24,0.3,0.99,0.98,0.67,0.86,0.61,0.05,0.8,0.85,0.85,0.83,0.53,0.54,0.91,0.067353861,0.4785628847851342,0.952791284,0.5823366641998291,0.2118681193639635,0.9466686447461446,1,0.19,0.93,0.5131107143118426,81.0546875
0.91,0.96,0.9,0.97,0.24,0.3,0.99,0.98,0.67,0.86,0.61,0.05,0.8,0.85,0.85,0.83,0.53,0.54,0.91,0.067353861,0.4785628847851342,0.952791284,0.5823366641998291,0.2118681193639635,0.9466686447461446,1,0.19,0.93,0.5131107143118426,81.0546875
0.7,0.99,0.7,0.94,0.54,0.8,0.99,0.98,0.18,0.86,0.48,0.16,0.84,0.79,0.74,0.87,0.15,0.69,1,0.1120553654758538,0.5959167298552401,0.974970003,0.7108697295188904,0.02906123,0.7597118218739817,1,0.27,0.97,0.6816681137188207,56.98242188
0.95,0.94,0.3,0.36,0.77,0.85,0.98,0.58,0.41,0.77,0.32,0.27,0.97,0.73,0.8,0.92,0.22,0.54,0.98,0.053554875,0.3655973246240478,0.885893852,0.8856477737426758,0.024079784,0.9222442507743835,1,0.29,0.64,0.882465399,77.19726563
0.85,1,0.33,0.94,0.49,0.94,1,0.98,0.44,0.71,0.72,0.28,0.89,0.82,0.85,0.86,0.44,0.32,0.97,0.1138915849567006,0.6446754202254397,0.9114309350649517,0.7850329875946045,0.3460647783865943,0.7698418299357107,1,0.24,0.92,0.7369821375963718,50.78125
0.93,0.98,0.52,0.22,0.23,0.82,1,0.95,0.44,0.36,0.24,0.14,0.95,0.42,0.86,0.96,0.69,0.58,0.97,0.069427068,0.4451290148695266,0.8294372856616974,0.5534701943397522,0.4558643318337028,0.4933250546455383,1,0.32,0.89,0.8202473553364701,63.72070313
0.19,1,0.7,1,0.29,0.43,1,0.91,0.19,0.67,0.62,0.1,0.91,0.84,0.78,0.7,0.8,0.37,0.97,0.041373377,0.5232954389967386,0.9500677486260732,0.391804039,0.1196782637468644,0.977612595,1,0.35,0.73,0.1025985578132144,80.56640625
0.99,0.85,0.33,0.03,0.69,0.98,0.99,0.92,0.45,0.41,0.42,0.33,0.9,0.36,0.89,0.97,0.53,0.28,0.87,0.091104254,0.3938240486514318,0.9995033144950868,0.8725822567939758,0.1676639984824539,0.9532896280288696,1,0.35,0.68,0.6248098368579105,62.98828125
0.15,0.45,0.85,0.94,0.43,0.06,1,0.56,0.04,0.19,0.46,0.22,0.22,0.13,0.42,0.69,0.27,0.58,0.98,0.95,0.45,0.89,0.96,0.07,0.12,1,0.18,0.8,0.079359911,65.13671875
0.91,0.96,0.9,0.97,0.24,0.3,0.99,0.98,0.67,0.86,0.61,0.05,0.8,0.85,0.85,0.83,0.53,0.54,0.91,0.067353861,0.4785628847851342,0.952791284,0.5823366641998291,0.2118681193639635,0.9466686447461446,1,0.19,0.93,0.5131107143118426,81.0546875
0.94,0.99,0.38,0.43,0.33,0.98,0.92,0.99,0.63,0.62,0.71,0.76,0.96,0.87,0.68,0.69,0.68,0.72,0.94,0.025775536,0.1859660992204226,0.92201966,0.6184329390525818,0.005333986,0.8294192552566528,1,0.46,0.78,0.8088466499500251,65.8203125
0.77,1,0.63,0.92,0.36,0.69,1,0.96,0.39,0.71,0.5,0.37,0.89,0.89,0.84,0.73,0.75,0.45,0.93,0.062185421,0.4585265488526886,0.669570009,0.7287030220031738,0.019232999,0.8437551657358805,1,0.39,0.75,0.5186455778243454,80.32226563
0.91,0.96,0.9,0.97,0.24,0.3,0.99,0.98,0.67,0.86,0.61,0.05,0.8,0.85,0.85,0.83,0.53,0.54,0.91,0.067353861,0.4785628847851342,0.952791284,0.5823366641998291,0.2118681193639635,0.9466686447461446,1,0.19,0.93,0.5131107143118426,81.0546875
0.7,0.99,0.43,0.94,0.44,0.08,1,0.83,0.37,0.71,0.24,0.07,0.82,0.36,0.7,0.46,0.68,0.27,0.89,0.1254167350221795,0.5868065746220452,0.7512313822905222,0.6962636709213257,0.066939133,0.7532527645428976,1,0.27,0.46,0.2787587227386798,66.55273438
0.03,1,0.04,0.97,0.88,0.99,1,1,0.29,0.37,0.72,0.28,0.83,0.94,0.88,0.72,0.84,0.43,0.98,0.01342206,0.2848438355110678,0.8242772420247396,0.4922015070915222,0.019944521,0.9576403697331748,1,0.11,0.84,0.6223668120097093,46.484375
0.76,1,0.4,0.89,0.56,0.91,1,1,0.52,0.75,0.82,0.58,0.92,0.83,0.6,0.67,0.77,0.65,0.96,0.038376096,0.3254201568017958,0.9788492619991302,0.6885504722595215,0.083055877,0.7381594777107239,1,0.3,0.89,0.5516215988053215,59.61914063
0.93,1,0.29,0.41,0.51,0.98,0.99,0.99,0.67,0.38,0.77,0.57,0.96,0.85,0.65,0.66,0.83,0.57,0.95,0.063435203,0.3111170236412164,0.6573289434115093,0.751281738,0.2761543213029568,0.959889849,1,0.23,0.86,1,54.296875
0.84,0.96,0.55,0.89,0.3,0.21,1,0.8,0.5,0.87,0.31,0.12,0.91,0.58,0.61,0.88,0.45,0.32,0.95,0.058285985,0.5317380276115724,0.9961469372113544,0.5448770523071289,0.1066487344856895,0.9397883812586476,1,0.13,0.92,0.697962472,74.0234375
0.94,1,0.55,0.69,0.37,0.93,1,0.99,0.64,0.76,0.69,0.53,0.96,0.86,0.8,0.81,0.73,0.73,0.99,0.042279277,0.5191479704210309,0.9604627788066864,0.479133129,0.018106418,0.9359974265098572,1,0.37,0.92,0.4991833865730851,65.47851563
0.93,1,0.29,0.41,0.51,0.98,0.99,0.99,0.67,0.38,0.77,0.57,0.96,0.85,0.65,0.66,0.83,0.57,0.95,0.063435203,0.3111170236412164,0.6573289434115093,0.751281738,0.2761543213029568,0.959889849,1,0.23,0.86,1,54.296875
0.95,0.93,0.44,0.09,0.95,1,0.97,0.96,0.97,0.85,0.08,0.24,0.94,0.86,0.21,0.43,0.43,0.4,0.99,0.1540409364550221,0.5496354012107005,0.9363778034845986,0.8804119229316711,0.045196668,0.979004661,1,0.42,0.87,0.7778426098455666,39.23339844
0.03,1,0.04,0.97,0.88,0.99,1,1,0.29,0.37,0.72,0.28,0.83,0.94,0.88,0.72,0.84,0.43,0.98,0.01342206,0.2848438355110678,0.8242772420247396,0.4922015070915222,0.019944521,0.9576403697331748,1,0.11,0.84,0.6223668120097093,46.484375
0.14,0.92,0.31,1,0.3,0.34,1,0.65,0.17,0.96,0.43,0.1,0.73,0.51,0.61,0.77,0.16,0.36,0.97,0.1400912114242913,0.5797934652376426,0.9903466602166494,0.8973597884178162,0.2285818188654455,0.5550333460172018,1,0.29,0.9,0.5247077530698778,65.8203125
0.05,1,0.83,0.98,0.39,0.86,0.99,0.98,0.34,0.74,0.41,0.14,0.95,0.9,0.6,0.36,0.31,0.82,0.85,0.13,0.079647095,0.95,0.84,0.25,0.53,1,0.15,0.81,1,69.28710938
0.62,0.82,0.61,0.98,0.24,0.46,0.92,0.81,0.17,0.88,0.63,0.13,0.86,0.2,0.76,0.75,0.31,0.48,0.92,0.1516537630665126,0.7056690111593832,0.9711847007274628,0.7249511480331421,0.1262805930250893,0.681217372,1,0.36,0.9,0.5335868685351851,85.40039063
0.7,0.99,0.7,0.94,0.54,0.8,0.99,0.98,0.18,0.86,0.48,0.16,0.84,0.79,0.74,0.87,0.15,0.69,1,0.1120553654758538,0.5959167298552401,0.974970003,0.7108697295188904,0.02906123,0.7597118218739817,1,0.27,0.97,0.6816681137188207,56.98242188
0.49,0.99,0.22,0.99,0.47,0.82,1,0.97,0.39,0.75,0.7,0.22,0.89,0.78,0.69,0.76,0.67,0.35,0.95,0.057859786,0.4636246019857548,0.9830362796783448,0.5868671536445618,0.060768385,0.8850113153457642,1,0.25,0.93,0.5323921620262995,53.515625
0.79,0.99,0.31,0.84,0.36,0.77,1,0.79,0.3,0.84,0.4,0.62,0.92,0.4,0.65,0.86,0.44,0.49,0.93,0.07851808,0.3904868210627654,0.967376471,0.8147830367088318,0.1177546949801056,0.93894577,1,0.36,0.68,0.8959334047757627,72.16796875
0.95,1,0.31,0.85,0.43,0.88,1,0.99,0.42,0.77,0.57,0.32,0.87,0.82,0.92,0.89,0.41,0.36,0.98,0.070522307,0.4310317178648617,0.976031224,0.7292483448982239,0.03380359,0.9014421304066976,1,0.37,0.86,0.553956276,39.99023438
0.03,1,0.04,0.97,0.88,0.99,1,1,0.29,0.37,0.72,0.28,0.83,0.94,0.88,0.72,0.84,0.43,0.98,0.01342206,0.2848438355110678,0.8242772420247396,0.4922015070915222,0.019944521,0.9576403697331748,1,0.11,0.84,0.6223668120097093,46.484375
0.57,0.73,0.34,0.74,0.21,0.09,0.94,0.91,0.26,0.55,0.15,0.12,0.96,0.3,0.89,0.85,0.65,0.74,0.9,0.027862579,0.2009050436025283,0.5530579288800557,0.6009955406188965,0.013807489,0.8912845055262255,1,0.3,0.53,1,44.55566406
0.32,0.99,0.85,0.94,0.73,0.96,1,0.97,0.52,0.28,0.82,0.12,0.97,0.94,0.51,0.16,0.76,0.36,0.98,0.03,0.88,0.84,0.77,0.23,0.34,1,0.2,0.99,0.8128666999176954,55.46875
0.15,0.94,0.39,1,0.31,0.3,0.9,0.77,0.16,0.74,0.14,0.12,0.63,0.27,0.78,0.41,0.31,0.27,0.94,0.063484705,0.6653640756216106,0.9650408327579498,0.4629455506801605,0.1888876989553451,0.9087688326835632,1,0.41,0.45,0.6345106816592592,61.5234375
0.91,0.96,0.9,0.97,0.24,0.3,0.99,0.98,0.67,0.86,0.61,0.05,0.8,0.85,0.85,0.83,0.53,0.54,0.91,0.067353861,0.4785628847851342,0.952791284,0.5823366641998291,0.2118681193639635,0.9466686447461446,1,0.19,0.93,0.5131107143118426,81.0546875
0.15,0.94,0.39,1,0.31,0.3,0.9,0.77,0.16,0.74,0.14,0.12,0.63,0.27,0.78,0.41,0.31,0.27,0.94,0.063484705,0.6653640756216106,0.9650408327579498,0.4629455506801605,0.1888876989553451,0.9087688326835632,1,0.41,0.45,0.6345106816592592,61.5234375
0.92,1,0.65,0.8,0.67,0.96,1,1,0.62,0.69,0.85,0.36,0.95,0.8,0.61,0.48,0.77,0.87,0.98,0.095326266,0.4670030831604421,0.8796120981375376,0.798480213,0.1303400794525735,0.7232932845751445,1,0.65,0.9,0.8905238114109745,74.0234375
